NAME,ROOM_NO,BUILDING
HOMI BHABHA GALLERY,412,SJT
SAROJINI NAIDU GALLERY,614,SJT
BHAGAT SINGH GALLERY,811,SJT
SMART  CLASSROOM,G07,SJT
DINING HALL,G11,SJT
DINING HALL,G12,SJT
SMART CLASSROOM,107&108,SJT
NAAC Room,130,SJT
SMART CLASSROOM,207A,SJT
RESEARCH CABIN,217A,SJT
NCC OFFICER CABIN,225,SJT
SMART CLASSROOM,307,SJT
PLACEMENT & TRAINING CELL,411A38,SJT
SMART CLASSROOM,507,SJT
IOT W/B,515A,SJT
VIT ACCENTURE INNOVATION,516,SJT
PROJECT LAB,523,SJT
LAB INCHARGE,525,SJT
SMART CLASSROOM,606,SJT
STAFF CUBICLES,609,SJT
STAFF CUBICLES,615,SJT
SMART CLASSROOM,706,SJT
MUSICAL CLASSROOM,711,SJT
DINING HALL,719,SJT
COMMUNICATION RADIO ROOM 90.8MHZ,804,SJT
Online Education / Online Examination Hall,704,PRP
Online Education / Online Examination Hall,705,PRP
Online Education / Online Examination Hall,706,PRP
Online Education / Online Examination Hall,707,PRP
Online Education / Online Examination Hall,710,PRP
Online Education / Online Examination Hall,711,PRP
Online Education / Online Examination Hall,712,PRP
Online Education / Online Examination Hall,713,PRP
Online Education / Online Examination Hall,715,PRP
Online Education / Online Examination Hall,716,PRP
Online Education / Online Examination Hall,717,PRP
Online Education / Online Examination Hall,718,PRP
Online Education / Online Examination Hall,719,PRP
Online Education / Online Examination Hall,720,PRP
Online Education / Online Examination Hall,721,PRP
Online Education / Online Examination Hall,722,PRP
Online Education / Online Examination Hall,723,PRP
Online Education / Online Examination Hall,724,PRP
Online Education / Online Examination Hall,725,PRP
Online Education / Online Examination Hall,726,PRP
Research Lab-3,604,PRP
Research Lab-3,604A,PRP
Research Lab-2,605,PRP
 VAIAL LAB,611,PRP
 VAIAL LAB,612,PRP
 VAIAL LAB,613,PRP
 VAIAL LAB,614,PRP
 VAIAL LAB,615,PRP
 VAIAL LAB,616,PRP
 VAIAL LAB,617,PRP
 VAIAL LAB,618,PRP
 VAIAL LAB,620,PRP
 VAIAL LAB,621,PRP
RESEARCH LAB -1 ,623,PRP
VAIAL THEORY,504,PRP
UTILITY ROOM,506,PRP
CONFERENCE ROOM,507,PRP
VAIAL THEORY,509,PRP
 VAIAL LAB,513,PRP
 VAIAL LAB,514,PRP
 VAIAL LAB,515,PRP
 VAIAL LAB,516,PRP
 VAIAL LAB,518,PRP
VAILAL THEORY,519,PRP
AGRI MEUSUEM,520,PRP
VAILAL THEORY,522,PRP
VAILAL THEORY,523,PRP
 VAIAL LAB,521,PRP
 SBST LAB,412,PRP
 SBST LAB,412A,PRP
 SBST DARK ROOM,412B,PRP
 SBST LAB,412C,PRP
 SBST LAB,412D,PRP
 SBST LAB,412E,PRP
 SBST LAB,412F,PRP
 SBST LAB,412G,PRP
 SBST LAB,412H,PRP
 SBST LAB,412I,PRP
 SBST LAB,412J,PRP
 SBST LAB,412K,PRP
SBST DROSPHILLA CULTURE,412L,PRP
CNBT LAB,415,PRP
CNBT LAB,416,PRP
CNBT LAB,417,PRP
CNBT LAB,418,PRP
SELECT LAB,315P,PRP
SITE LAB,315Q,PRP
SELECT LAB,315R,PRP
SAS LAB,321,PRP
STUDENTS COUNCELLING ROOM,205,PRP
SAS LAB,119,PRP
SAS LAB,G04,PRP
SAS LAB,G07,PRP
CEE LAB,G15,PRP
CEE LAB,G16,PRP
SAS LAB,G17,PRP
SAS LAB,G18,PRP
GALLERY (AUDITORIUM),B04,PRP
GALLERY (AUDITORIUM),B05,PRP
GALLERY (AUDITORIUM),B06,PRP
GALLERY (AUDITORIUM),B07,PRP
VIP WAITING ROOM,B08,PRP
