Room_Number,Building,Department,Type
G01,SJT,IT,THEORY
G02,SJT,IT,THEORY
G03,SJT,IT,THEORY
G04,SJT,IT,THEORY
G05,SJT,IT,THEORY
G07,SJT,IT,THEORY
G08,SJT,IT,THEORY
G10,SJT,IT,THEORY
G16,SJT,IT,THEORY
G17,SJT,IT,THEORY
G18,SJT,IT,LAB
G18A,SJT,IT,LAB
G19,SJT,IT,LAB
G19A,SJT,IT,LAB
G20,SJT,IT,LAB
G24,SJT,IT,THEORY
101,SJT,IT,THEORY
102,SJT,IT,THEORY
103,SJT,IT,THEORY
104,SJT,IT,THEORY
105,SJT,IT,THEORY
109,SJT,IT,THEORY
112,SJT,IT,THEORY
113,SJT,IT,THEORY
114,SJT,IT,THEORY
115,SJT,IT,THEORY
118,SJT,IT,THEORY
119,SJT,IT,LAB
120,SJT,IT,LAB
120A,SJT,IT,LAB
121,SJT,IT,LAB
122,SJT,IT,LAB
124,SJT,IT,THEORY
125,SJT,IT,THEORY
126,SJT,IT,THEORY
127,SJT,IT,THEORY
107,SJT,IT,THEORY
108,SJT,IT,THEORY
201,SJT,IT,THEORY
202,SJT,IT,THEORY
203,SJT,ECE,LAB
204,SJT,IT,THEORY
205,SJT,IT,THEORY
207,SJT,IT,LAB
207A,SJT,IT,THEORY
208,SJT,IT,THEORY
211,SJT,IT,THEORY
212,SJT,IT,LAB
215,SJT,IT,THEORY
216,SJT,IT,LAB
217,SJT,IT,LAB
218,SJT,IT,LAB
218A,SJT,IT,LAB
219,SJT,IT,LAB
221,SJT,IT,THEORY
222,SJT,IT,THEORY
223,SJT,IT,THEORY
224,SJT,IT,THEORY
301,SJT,CSE,THEORY
302,SJT,CSE,THEORY
303,SJT,CSE,THEORY
304,SJT,CSE,THEORY
305,SJT,CSE,THEORY
307,SJT,CSE,THEORY
308,SJT,CSE,THEORY
311,SJT,CSE,THEORY
311A,SJT,CSE,THEORY
312,SJT,CSE,THEORY
315,SJT,CSE,THEORY
316,SJT,CSE,LAB
317,SJT,CSE,LAB
318,SJT,CSE,LAB
319,SJT,CSE,LAB
323,SJT,CSE,THEORY
324,SJT,CSE,THEORY
401,SJT,CSE,THEORY
402,SJT,CSE,THEORY
403,SJT,CSE,THEORY
404,SJT,CSE,THEORY
405,SJT,CSE,THEORY
407,SJT,CSE,THEORY
408,SJT,CSE,THEORY
409,SJT,CSE,THEORY
415,SJT,CSE,THEORY
416,SJT,CSE,LAB
417,SJT,CSE,LAB
418,SJT,CSE,LAB
419,SJT,CSE,LAB
421,SJT,CSE,THEORY
422,SJT,CSE,THEORY
423,SJT,CSE,THEORY
424,SJT,CSE,THEORY
501,SJT,CSE,THEORY
502,SJT,CSE,THEORY
503,SJT,CSE,THEORY
504,SJT,CSE,THEORY
505,SJT,CSE,THEORY
507,SJT,CSE,THEORY
508,SJT,CSE,THEORY
513,SJT,CSE,THEORY
514,SJT,CSE,THEORY
515,SJT,CSE,LAB
517,SJT,CSE,LAB
520,SJT,CSE,LAB
521,SJT,CSE,THEORY
522,SJT,CSE,THEORY
601,SJT,CSE,THEORY
602,SJT,CSE,THEORY
602A,SJT,CSE,THEORY
603,SJT,CSE,THEORY
604,SJT,CSE,THEORY
606,SJT,CSE,THEORY
607,SJT,CSE,THEORY
617,SJT,CSE,THEORY
619,SJT,CSE,THEORY
620,SJT,CSE,LAB
620A,SJT,CSE,LAB
621,SJT,CSE,LAB
622,SJT,CSE,LAB
626,SJT,CSE,THEORY
627,SJT,CSE,THEORY
701,SJT,CSE,THEORY
702,SJT,CSE,THEORY
703,SJT,CSE,THEORY
704,SJT,CSE,THEORY
706,SJT,CSE,THEORY
707,SJT,CSE,THEORY
709,SJT,CSE,THEORY
710,SJT,CSE,THEORY
712,SJT,CSE,THEORY
715,SJT,CSE,THEORY
720,SJT,CSE,THEORY
721,SJT,CSE,THEORY
801,SJT,CSE,THEORY
802,SJT,CSE,THEORY
803,SJT,CSE,THEORY
806,SJT,CSE,LAB
807,SJT,CSE,THEORY
823,SJT,CSE,THEORY
824,SJT,CSE,THEORY
825,SJT,IT,THEORY
G03,PRP,CSE,THEORY
G06,PRP,CSE,THEORY
G08,PRP,CSE,THEORY
G10,PRP,CSE,THEORY
G21,PRP,CSE,THEORY
G23,PRP,CSE,THEORY
G25,PRP,CSE,THEORY
G26,PRP,CSE,THEORY
G31,PRP,CSE,THEORY
G32,PRP,CSE,THEORY
G33,PRP,CSE,THEORY
G34,PRP,CSE,THEORY
104,PRP,CSE,THEORY
105,PRP,CSE,THEORY
107,PRP,CSE,THEORY
108,PRP,ECE,LAB
109,PRP,CSE,THEORY
110,PRP,CSE,THEORY
111,PRP,CSE,THEORY
112,PRP,CSE,THEORY
115,PRP,CSE,THEORY
116,PRP,CSE,THEORY
117,PRP,CSE,LAB
117A,PRP,CSE,LAB
118A,PRP,CSE,LAB
118,PRP,CSE,LAB
120,PRP,CSE,THEORY
122,PRP,CSE,THEORY
123,PRP,CSE,THEORY
124,PRP,CSE,THEORY
125,PRP,CSE,THEORY
126,PRP,CSE,THEORY
127,PRP,CSE,THEORY
128,PRP,CSE,THEORY
134,PRP,CSE,THEORY
135,PRP,CSE,LAB
136,PRP,CSE,LAB
137,PRP,CSE,LAB
138,PRP,CSE,LAB
204,PRP,CSE,THEORY
207,PRP,CSE,THEORY
209,PRP,CSE,THEORY
210,PRP,CSE,THEORY
214,PRP,CSE,THEORY
216,PRP,CSE,LAB
219,PRP,CSE,THEORY
220,PRP,CSE,THEORY
221,PRP,CSE,THEORY
222,PRP,CSE,LAB
223,PRP,CSE,THEORY
224,PRP,CSE,THEORY
231,PRP,CSE,LAB
232,PRP,CSE,LAB
233,PRP,CSE,LAB
234,PRP,CSE,LAB
238,PRP,CSE,THEORY
238A,PRP,CSE,THEORY
267,PRP,CSE,THEORY
268,PRP,CSE,THEORY
274,PRP,CSE,THEORY
275,PRP,CSE,THEORY
304,PRP,CSE,THEORY
305,PRP,ECE,LAB
306,PRP,CSE,THEORY
308,PRP,CSE,THEORY
309,PRP,CSE,THEORY
313,PRP,CSE,THEORY
315P,PRP,ECE,LAB
315Q,PRP,IT,LAB
315R,PRP,ECE,LAB
318,PRP,CSE,THEORY
319,PRP,CSE,THEORY
320,PRP,CSE,THEORY
322,PRP,CSE,THEORY
323,PRP,CSE,THEORY
330,PRP,CSE,THEORY
332,PRP,CSE,THEORY
333,PRP,CSE,THEORY
334,PRP,CSE,THEORY
339,PRP,CSE,THEORY
371,PRP,CSE,THEORY
372,PRP,CSE,THEORY
378,PRP,CSE,THEORY
379,PRP,CSE,THEORY
404,PRP,ECE,LAB
405,PRP,ECE,LAB
406,PRP,ECE,LAB
407,PRP,ECE,LAB
408,PRP,ECE,LAB
411,PRP,CSE,THEORY
414,PRP,CSE,THEORY
464,PRP,CSE,THEORY
465,PRP,CSE,THEORY
471,PRP,CSE,THEORY
472,PRP,CSE,THEORY
568,PRP,CSE,THEORY
569,PRP,CSE,THEORY
575,PRP,CSE,THEORY
576,PRP,CSE,THEORY
670,PRP,CSE,THEORY
671,PRP,CSE,THEORY
677,PRP,CSE,THEORY
678,PRP,CSE,THEORY
766,PRP,CSE,THEORY
772,PRP,CSE,THEORY
773,PRP,CSE,THEORY
