SlotName,Day,StartTime,EndTime,Type
A1,MONDAY,08:00,08:50,THEORY
F1,MONDAY,09:00,09:50,THEORY
D1,MONDAY,10:00,10:50,THEORY
TB1,MONDAY,11:00,11:50,THEORY
G1,MONDAY,12:00,12:50,THEORY
A2,MONDAY,14:00,14:50,THEORY
F2,MONDAY,15:00,15:50,THEORY
D2,MONDAY,16:00,16:50,THEORY
TB2,MONDAY,17:00,17:50,THEORY
TG2,MONDAY,18:00,18:50,THEORY
L1+L2,MONDAY,08:00,09:40,LAB
L3+L4,MONDAY,09:50,11:30,LAB
L5+L6,MONDAY,11:40,13:20,LAB
L31+L32,MONDAY,14:00,15:40,LAB
L33+L34,MONDAY,15:50,17:30,LAB
L35+L36,MONDAY,17:40,19:20,LAB
B1,TUESDAY,08:00,08:50,THEORY
G1,TUESDAY,09:00,09:50,THEORY
E1,TUESDAY,10:00,10:50,THEORY
TC1,TUESDAY,11:00,11:50,THEORY
TAA1,TUESDAY,12:00,12:50,THEORY
B2,TUESDAY,14:00,14:50,THEORY
G2,TUESDAY,15:00,15:50,THEORY
E2,TUESDAY,16:00,16:50,THEORY
TC2,TUESDAY,17:00,17:50,THEORY
TAA2,TUESDAY,18:00,18:50,THEORY
L7+L8,TUESDAY,08:00,09:40,LAB
L9+L10,TUESDAY,09:50,11:30,LAB
L11+L12,TUESDAY,11:40,13:20,LAB
L37+L38,TUESDAY,14:00,15:40,LAB
L39+L40,TUESDAY,15:50,17:30,LAB
L41+L42,TUESDAY,17:40,19:20,LAB
C1,WEDNESDAY,08:00,08:50,THEORY
A1,WEDNESDAY,09:00,09:50,THEORY
F1,WEDNESDAY,10:00,10:50,THEORY
V1,WEDNESDAY,11:00,11:50,THEORY
C2,WEDNESDAY,14:00,14:50,THEORY
A2,WEDNESDAY,15:00,15:50,THEORY
F2,WEDNESDAY,16:00,16:50,THEORY
TD2,WEDNESDAY,17:00,17:50,THEORY
TBB2,WEDNESDAY,18:00,18:50,THEORY
L13+L14,WEDNESDAY,08:00,09:40,LAB
L15+L16,WEDNESDAY,09:50,11:30,LAB
L17+L18,WEDNESDAY,11:40,13:20,LAB
L43+L44,WEDNESDAY,14:00,15:40,LAB
L45+L46,WEDNESDAY,15:50,17:30,LAB
L47+L48,WEDNESDAY,17:40,19:20,LAB
D1,THURSDAY,08:00,08:50,THEORY
B1,THURSDAY,09:00,09:50,THEORY
G1,THURSDAY,10:00,10:50,THEORY
TE1,THURSDAY,11:00,11:50,THEORY
TCC1,THURSDAY,12:00,12:50,THEORY
D2,THURSDAY,14:00,14:50,THEORY
B2,THURSDAY,15:00,15:50,THEORY
G2,THURSDAY,16:00,16:50,THEORY
TE2,THURSDAY,17:00,17:50,THEORY
TCC2,THURSDAY,18:00,18:50,THEORY
L19+L20,THURSDAY,08:00,09:40,LAB
L21+L22,THURSDAY,09:50,11:30,LAB
L23+L24,THURSDAY,11:40,13:20,LAB
L49+L50,THURSDAY,14:00,15:40,LAB
L51+L52,THURSDAY,15:50,17:30,LAB
L53+L54,THURSDAY,17:40,19:20,LAB
E1,FRIDAY,08:00,08:50,THEORY
C1,FRIDAY,09:00,09:50,THEORY
TA1,FRIDAY,10:00,10:50,THEORY
TF1,FRIDAY,11:00,11:50,THEORY
TD1,FRIDAY,12:00,12:50,THEORY
E2,FRIDAY,14:00,14:50,THEORY
C2,FRIDAY,15:00,15:50,THEORY
TA2,FRIDAY,16:00,16:50,THEORY
TF2,FRIDAY,17:00,17:50,THEORY
TDD2,FRIDAY,18:00,18:50,THEORY
L25+L26,FRIDAY,08:00,09:40,LAB
L27+L28,FRIDAY,09:50,11:30,LAB
L29+L30,FRIDAY,11:40,13:20,LAB
L55+L56,FRIDAY,14:00,15:40,LAB
L57+58,FRIDAY,15:50,17:30,LAB
L59+L60,FRIDAY,17:40,19:20,LAB
